Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst01,1,165.8,0.893
Standard,Inst01,2,177.1,0.904
Standard,Inst01,3,183.9,0.896
Standard,Inst01,4,161,0.855
Standard,Inst01,5,161.7,0.882
Standard,Inst01,6,168.9,0.904
Standard,Inst01,7,139.2,0.907
Standard,Inst01,8,156,0.921
Standard,Inst01,9,149.1,0.88
Standard,Inst01,10,151.4,0.875
Standard,Inst01,11,152.5,0.884
Standard,Inst01,12,211.4,0.913
Standard,Inst01,13,155.1,0.899
Standard,Inst01,14,160.6,0.906
Standard,Inst01,15,196,0.849
Standard,Inst01,16,166.3,0.895
Standard,Inst01,17,168.3,0.902
Standard,Inst01,18,173.1,0.827
Standard,Inst01,19,218.7,0.868
Standard,Inst01,20,141.1,0.894
Standard,Inst01,21,162.5,0.896
Standard,Inst01,22,137.2,0.876
Standard,Inst01,23,174.9,0.913
Standard,Inst01,24,163.7,0.929
Standard,Inst01,25,150.2,0.866
Standard,Inst01,26,140.3,0.888
Standard,Inst01,27,158.3,0.875
Standard,Inst01,28,134,0.895
Standard,Inst01,29,167.9,0.9
Standard,Inst01,30,146.2,0.85
Standard,Inst02,1,155.4,0.93
Standard,Inst02,2,165.4,0.94
Standard,Inst02,3,143.8,0.944
Standard,Inst02,4,136.8,0.937
Standard,Inst02,5,116.6,0.945
Standard,Inst02,6,161.4,0.933
Standard,Inst02,7,146.6,0.893
Standard,Inst02,8,152.1,0.922
Standard,Inst02,9,158.5,0.927
Standard,Inst02,10,167,0.939
Standard,Inst02,11,172,0.932
Standard,Inst02,12,164.9,0.951
Standard,Inst02,13,175.7,0.93
Standard,Inst02,14,183.2,0.969
Standard,Inst02,15,167.3,0.949
Standard,Inst02,16,161.1,0.947
Standard,Inst02,17,175.5,0.905
Standard,Inst02,18,169.7,0.915
Standard,Inst02,19,161.2,0.961
Standard,Inst02,20,184.4,0.9
Standard,Inst02,21,134.5,0.971
Standard,Inst02,22,148,0.876
Standard,Inst02,23,163,0.94
Standard,Inst02,24,134,0.951
Standard,Inst02,25,168.6,0.913
Standard,Inst02,26,142.3,0.96
Standard,Inst02,27,106.3,0.943
Standard,Inst02,28,123.5,0.922
Standard,Inst02,29,139.3,0.942
Standard,Inst02,30,129.5,0.929
Standard,Inst03,1,195.6,0.919
Standard,Inst03,2,158.3,0.879
Standard,Inst03,3,133.7,0.899
Standard,Inst03,4,155.3,0.878
Standard,Inst03,5,191,0.903
Standard,Inst03,6,158,0.931
Standard,Inst03,7,178.1,0.877
Standard,Inst03,8,179.3,0.875
Standard,Inst03,9,156.5,0.88
Standard,Inst03,10,160.8,0.896
Standard,Inst03,11,164.1,0.93
Standard,Inst03,12,166.4,0.868
Standard,Inst03,13,174.7,0.93
Standard,Inst03,14,229,0.906
Standard,Inst03,15,163.1,0.891
Standard,Inst03,16,189.9,0.91
Standard,Inst03,17,157.4,0.899
Standard,Inst03,18,179.8,0.914
Standard,Inst03,19,170.6,0.909
Standard,Inst03,20,166.6,0.941
Standard,Inst03,21,160.5,0.904
Standard,Inst03,22,165.1,0.885
Standard,Inst03,23,157.6,0.879
Standard,Inst03,24,146.2,0.927
Standard,Inst03,25,147.9,0.867
Standard,Inst03,26,120.2,0.883
Standard,Inst03,27,120.8,0.876
